Sample	FOXA1 Expression (%)	Bio. Replicate
CRE1	88.54295153	1
CRE1	79.91805135	2
CRE1	76.25988575	3
CRE2	64.77843852	1
CRE2	63.43976111	2
CRE2	81.37687712	3
CRE3	85.22366047	1
CRE3	88.44258324	2
CRE3	81.27677609	3
CRE4	88.69536705	1
CRE4	83.67736749	2
CRE4	92.71943764	3
CRE5	60.33402879	1
CRE5	58.73800379	2
CRE5	75.34170127	3
CRE6	53.6427198	1
CRE6	47.60118281	2
CRE6	60.70180234	3
FOXA1 Promoter (+)	53.46777964	1
FOXA1 Promoter (+)	50.61168796	2
FOXA1 Promoter (+)	51.50392755	3
AAVS1 (-)	96.92825567	1
AAVS1 (-)	97.31492823	2
AAVS1 (-)	109.0151228	3
Chr14 (-)	100	1
Chr14 (-)	100	2
Chr14 (-)	100	3